actor,date,director,id,language,rate,rating_num,region,runtime,title,type,year,is_cn,is_hk,is_tw,is_drama,is_comedy,is_action,is_romance,is_scifi,is_cartoon,is_mystery,is_thriller,is_horror,is_crime,is_homosexua,is_music,is_musical,is_biographical,is_historical,is_war,is_western,is_fantasy,is_adventure,is_disaster,is_sowordsmen,is_erotic,is_best,is_worst
"白百何, 井柏然, 姜武, 金燕玲, 钟汉良, 曾志伟, 吴君如, 汤唯, 姚晨, 闫妮, 保剑锋, 王栎鑫, 郭晓东, 李菁菁, 田雨橙, 张悦轩",2015-07-16(中国大陆),许诚毅,25723907,汉语普通话,6.7,302115.0,"中国大陆, 香港",118.0,捉妖记,"喜剧, 奇幻, 古装",2015,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"王千源, 秦海璐, 张申英, 刘谦, 罗二羊, 国永振, 周逵, 田雨, 张亚希, 项燕, 许江宁, 张惠志, 刘星禹, 王早来, 王玥","2011-07-15(中国大陆), 2017-11-11(中国大陆重映), 2010-09-11(多伦多电影节)",张猛,4876722,"汉语普通话 ,  俄语",8.4,193648.0,中国大陆,119.0,钢的琴,"剧情, 喜剧",2010,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"姚晨, 马伊琍, 袁文康, 吴昊宸, 王梓尘, 陶昕然, 高叶, 齐欢","2018-10-05(中国大陆), 2018-06-17(上海电影节)",吕乐,27140071,汉语普通话,7.4,18087.0,中国大陆,102.0,找到你,剧情,2018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"黄渤, 段奕宏, 徐静蕾, 杨子姗, 梁杰理, 许玮甯, 王真儿, 焦刚, 张念骅, 杜函梦, 栾元晖, 曹英睿","2017-04-28(中国大陆), 2017-04-23(北京电影节)",陈正道,25884801,汉语普通话,7.1,209349.0,中国大陆,119.0,记忆大师,"剧情, 悬疑, 惊悚, 犯罪",2017,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"葛优, 章子怡, 浅野忠信, 杜淳, 钟欣潼, 倪大红, 赵宝刚, 袁泉, 闫妮, 韩庚, 霍思燕, 杜江, 王传君, 钟汉良, 马晓伟, 吕行, 乔笑笑, 刘天阳, 赵海涛, 叶禾, 周敬峰, 杨露璐, 松峰莉璃, 松浦敬之, 平田康之, 张晓龙, 郭晓小, 小黑",2016-12-16(中国大陆),程耳,24751763,"汉语普通话 ,  上海话 ,  日语 ,  英语",7.7,232962.0,"中国大陆, 香港",125.0,罗曼蒂克消亡史,"剧情, 动作, 悬疑",2016,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"于是之, 郑榕, 蓝天野, 英若诚, 黄宗洛, 童超, 金昭, 林连昆, 牛星丽, 谭宗尧, 童弟, 吴淑昆",1982,谢添,1461403,北京话,9.4,21554.0,中国大陆,118.0,茶馆,"剧情, 历史",1982,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"古天乐, 徐熙媛, 佟大为, 吴君如, 宋佳, 刘洋, 樊少皇, 林子聪, 刘仪伟, 罗家英",2009-07-30(中国大陆),王晶,3670447,"粤语 ,  汉语普通话",5.0,116515.0,"香港, 中国大陆, 台湾",98.0,大内密探灵灵狗 大內密探靈靈狗,喜剧,2009,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"舒淇, 王千源, 张孝全, 曾志伟, 杨祐宁, 张少怀, 许杰辉, 林美秀, 顾宝明, 陈竹昇, 柯宇纶, 黄健玮",2017-01-28(中国大陆),陈玉勋,26717795,汉语普通话,6.7,63980.0,"中国大陆, 台湾",116.0,健忘村,"剧情, 喜剧, 奇幻, 古装",2017,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"周迅, 彭于晏, 霍建华, 叶德娴, 郭涛, 春夏, 黄志忠, 蒋雯丽, 梁家辉, 王菀之, 吕良伟, 鲍起静, 李灿森, 梁文道, 张兆辉, 冯淬帆, 苑琼丹, 唐宁, 卢巧音, 许鞍华, 永濑正敏, 森田凉花, 廖骏雄, 何华超, 蔡瀚亿, 欧锦棠, 熊欣欣, 吴岱融","2017-07-01(中国大陆), 2017-06-18(上海电影节)",许鞍华,26425072,汉语普通话,6.9,61993.0,"中国大陆, 香港",130.0,明月几时有,"剧情, 历史, 战争",2017,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"白百何, 彭于晏, 吴佩慈, 蒋劲夫",2013-04-12(中国大陆),吴基焕,19973815,汉语普通话,5.7,131159.0,"中国大陆, 韩国",103.0,分手合约,爱情,2013,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"陈学冬, 张孝全, 桂纶镁, 蒋梦婕, 姜超, 张兆辉, 陈欣健, 何华超, 雪村, 谭凯",2017-12-08(中国大陆),彭顺,26985857,汉语普通话,5.7,18962.0,"中国大陆, 香港",123.0,巨额来电,"剧情, 犯罪",2017,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
